county,age_category,quarter,susceptible,new_infected,current_infected,new_severe,cumulative_severe,flu_incidence,severe_incidence
Mariposa,0-17,Q2,30329,772,784,0,0,2.545418576280128,0
Mariposa,0-17,Q3,20800,337,345,0,0,1.6201923076923075,0
Mariposa,0-17,Q4,1559,0,0,0,0,0,0
Mariposa,18-49,Q1,48614,119,122,0,0,0.24478545275023658,0
Mariposa,18-49,Q2,58865,1449,1520,9,52,2.4615645969591435,0.015289221099125118
Mariposa,18-49,Q3,42433,775,832,12,246,1.8264086913487145,0.0282798765112059
Mariposa,18-49,Q4,4385,0,0,0,32,0,0
Mariposa,50-64,Q1,33186,90,98,3,14,0.2711986982462484,0.00903995660820828
Mariposa,50-64,Q2,40078,971,1108,28,199,2.4227755876041717,0.06986376565696892
Mariposa,50-64,Q3,29560,565,684,27,704,1.9113667117726658,0.09133964817320704
